IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
weberry01,Ryan Weber,Ryan,Weber,10160,Ryan Weber,543901,Ryan Weber,2121894,Ryan Weber,weberry01,33563,Ryan Weber,60047,Ryan Weber,"Weber, Ryan",Ryan Weber
yarbrry01,Ryan Yarbrough,Ryan,Yarbrough,16502,Ryan Yarbrough,642232,Ryan Yarbrough,2167343,Ryan Yarbrough,yarbrry01,33735,Ryan Yarbrough,103929,Ryan Yarbrough,"Yarbrough, Ryan",Ryan Yarbrough
nelsory01,Ryne Nelson,Ryne,Nelson,26253,Ryne Nelson,669194,Ryne Nelson,3152115,Ryne Nelson,nelsory01,,Ryne Nelson,130740,Ryne Nelson,"Nelson, Ryne",Ryne Nelson
stanery01,Ryne Stanek,Ryne,Stanek,15947,Ryne Stanek,592773,Ryne Stanek,2068544,Ryne Stanek,stanery01,33301,Ryne Stanek,68691,Ryne Stanek,"Stanek, Ryne",Ryne Stanek
frelisa01,Sal Frelick,Sal,Frelick,sa3017047,Sal Frelick,686217,Sal Frelick,26719606,Sal Frelick,frelisa01,,Sal Frelick,151281,Sal Frelick,"Frelick, Sal",Sal Frelick
perezsa02,Salvador Perez,Salvador,Perez,7304,Salvador Perez,521692,Salvador Perez,1793168,Salvador Perez,perezsa02,31127,Salvador Perez,57335,Salvador Perez,"Perez, Salvador",Salvador Perez
coonrsa01,Sam Coonrod,Sam,Coonrod,17264,Sam Coonrod,656322,Sam Coonrod,2211217,Sam Coonrod,coonrsa01,,Sam Coonrod,104750,Sam Coonrod,"Coonrod, Sam",Sam Coonrod
haggesa01,Sam Haggerty,Sam,Haggerty,18054,Sam Haggerty,664059,Sam Haggerty,2794801,Sam Haggerty,haggesa01,38347,Sam Haggerty,106102,Sam Haggerty,"Haggerty, Sam",Sam Haggerty
hentgsa01,Sam Hentges,Sam,Hentges,18548,Sam Hentges,656529,Sam Hentges,3055496,Sam Hentges,hentgsa01,41225,Sam Hentges,104799,Sam Hentges,"Hentges, Sam",Sam Hentges
hillisa01,Sam Hilliard,Sam,Hilliard,17954,Sam Hilliard,656541,Sam Hilliard,2228436,Sam Hilliard,hillisa01,35831,Sam Hilliard,106165,Sam Hilliard,"Hilliard, Sam",Sam Hilliard
huffsa01,Sam Huff,Sam,Huff,22209,Sam Huff,669087,Sam Huff,3096418,Sam Huff,huffsa01,40798,Sam Huff,107982,Sam Huff,"Huff, Sam",Sam Huff
tuivasa01,Sam Tuivailala,Sam,Tuivailala,13485,Sam Tuivailala,592815,Sam Tuivailala,2119611,Sam Tuivailala,tuivasa01,33368,Sam Tuivailala,67139,Sam Tuivailala,"Tuivailala, Sam",Sam Tuivailala
longsa01,Sammy Long,Sammy,Long,25379,Sam Long,669674,Sammy Long,2663515,Sam Long,longsa01,42262,Sammy Long,108959,Sammy Long,"Long, Sammy",Sammy Long
alcansa01,Sandy Alcantara,Sandy,Alcantara,18684,Sandy Alcantara,645261,Sandy Alcantara,2211794,Sandy Alcantara,alcansa01,35241,Sandy Alcantara,104002,Sandy Alcantara,"Alcantara, Sandy",Sandy Alcantara
leonsa01,Sandy Leon,Sandy,Leon,5273,Sandy Leon,506702,Sandy Leon,1928685,Sandy Leon,leonsa01,32101,Sandy Leon,55951,Sandy Leon,"Leon, Sandy",Sandy Leon
espinsa01,Santiago Espinal,Santiago,Espinal,19997,Santiago Espinal,669289,Santiago Espinal,2915585,Santiago Espinal,espinsa01,39924,Santiago Espinal,108878,Santiago Espinal,"Espinal, Santiago",Santiago Espinal
alexasc02,Scott Alexander,Scott,Alexander,10591,Scott Alexander,518397,Scott Alexander,2113509,Scott Alexander,alexasc02,33123,Scott Alexander,65851,Scott Alexander,"Alexander, Scott",Scott Alexander
barlosc01,Scott Barlow,Scott,Barlow,14993,Scott Barlow,605130,Scott Barlow,1947842,Scott Barlow,barlosc01,32156,Scott Barlow,70429,Scott Barlow,"Barlow, Scott",Scott Barlow
effrosc01,Scott Effross,Scott,Effross,18384,Scott Effross,664123,Scott Effross,3094730,Scott Effross,effrosc01,,Scott Effross,105904,Scott Effross,"Effross, Scott",Scott Effross
kingesc01,Scott Kingery,Scott,Kingery,17975,Scott Kingery,664068,Scott Kingery,2447481,Scott Kingery,kingesc01,35276,Scott Kingery,106259,Scott Kingery,"Kingery, Scott",Scott Kingery
bouchse01,Sean Bouchard,Sean,Bouchard,21270,Sean Bouchard,656248,Sean Bouchard,2836632,Sean Bouchard,bouchse01,,Sean Bouchard,109483,Sean Bouchard,"Bouchard, Sean",Sean Bouchard
doolise01,Sean Doolittle,Sean,Doolittle,1581,Sean Doolittle,448281,Sean Doolittle,1601130,Sean Doolittle,doolise01,30283,Sean Doolittle,53253,Sean Doolittle,"Doolittle, Sean",Sean Doolittle
hjellse01,Sean Hjelle,Sean,Hjelle,21481,Sean Hjelle,663546,Sean Hjelle,2931967,Sean Hjelle,hjellse01,,Sean Hjelle,123765,Sean Hjelle,"Hjelle, Sean",Sean Hjelle
manaese01,Sean Manaea,Sean,Manaea,15873,Sean Manaea,640455,Sean Manaea,2066704,Sean Manaea,manaese01,33244,Sean Manaea,103721,Sean Manaea,"Manaea, Sean",Sean Manaea
murphse01,Sean Murphy,Sean,Murphy,19352,Sean Murphy,669221,Sean Murphy,2483273,Sean Murphy,murphse01,33557,Sean Murphy,108278,Sean Murphy,"Murphy, Sean",Sean Murphy
newcose01,Sean Newcomb,Sean,Newcomb,16943,Sean Newcomb,656794,Sean Newcomb,2165525,Sean Newcomb,newcose01,33856,Sean Newcomb,104863,Sean Newcomb,"Newcomb, Sean",Sean Newcomb
reidfse01,Sean Reid-Foley,Sean,Reid-Foley,17034,Sean Reid-Foley,656887,Sean Reid-Foley,2167361,Sean Reid-Foley,reidfse01,33756,Sean Reid-Foley,103743,Sean Reid-Foley,"Reid-Foley, Sean",Sean Reid-Foley
zavalse01,Seby Zavala,Seby,Zavala,18887,Seby Zavala,664874,Seby Zavala,2804021,Seby Zavala,zavalse01,,Seby Zavala,107161,Seby Zavala,"Zavala, Seby",Seby Zavala
suzukse01,Seiya Suzuki,Seiya,Suzuki,30116,Seiya Suzuki,673548,Seiya Suzuki,27023012,Seiya Suzuki,suzukse01,,Seiya Suzuki,138164,Seiya Suzuki,"Suzuki, Seiya",Seiya Suzuki
dominse01,Seranthony Dominguez,Seranthony,Dominguez,19249,Seranthony Dominguez,622554,Seranthony Dominguez,2898211,Seranthony Dominguez,dominse01,37793,Seranthony Dominguez,101008,Seranthony Dominguez,"Dominguez, Seranthony",Seranthony Dominguez
alcanse01,Sergio Alcantara,Sergio,Alcantara,16417,Sergio Alcantara,642727,Sergio Alcantara,2118128,Sergio Alcantara,alcanse01,,Sergio Alcantara,103221,Sergio Alcantara,"Alcantara, Sergio",Sergio Alcantara
romose01,Sergio Romo,Sergio,Romo,9817,Sergio Romo,489265,Sergio Romo,1587078,Sergio Romo,romose01,29168,Sergio Romo,49543,Sergio Romo,"Romo, Sergio",Sergio Romo
beerse01,Seth Beer,Seth,Beer,20493,Seth Beer,666179,Seth Beer,2942991,Seth Beer,beerse01,41224,Seth Beer,113235,Seth Beer,"Beer, Seth",Seth Beer
brownse01,Seth Brown,Seth,Brown,18171,Seth Brown,664913,Seth Brown,2227766,Seth Brown,brownse01,35676,Seth Brown,105633,Seth Brown,"Brown, Seth",Seth Brown
lugose01,Seth Lugo,Seth,Lugo,12447,Seth Lugo,607625,Seth Lugo,2210221,Seth Lugo,lugose01,34873,Seth Lugo,70069,Seth Lugo,"Lugo, Seth",Seth Lugo
bazsh01,Shane Baz,Shane,Baz,22264,Shane Baz,669358,Shane Baz,2835064,Shane Baz,bazsh01,39639,Shane Baz,109417,Shane Baz,"Baz, Shane",Shane Baz
biebesh01,Shane Bieber,Shane,Bieber,19427,Shane Bieber,669456,Shane Bieber,2507333,Shane Bieber,biebesh01,40912,Shane Bieber,108830,Shane Bieber,"Bieber, Shane",Shane Bieber
greensh02,Shane Greene,Shane,Greene,10756,Shane Greene,572888,Shane Greene,2040765,Shane Greene,greensh02,32704,Shane Greene,60907,Shane Greene,"Greene, Shane",Shane Greene
mcclash01,Shane McClanahan,Shane,McClanahan,21483,Shane McClanahan,663556,Shane McClanahan,2931996,Shane McClanahan,mcclash01,,,128501,Shane McClanahan,"McClanahan, Shane",Shane McClanahan
andersh01,Shaun Anderson,Shaun,Anderson,19453,Shaun Anderson,641312,Shaun Anderson,3086089,Shaun Anderson,andersh01,39681,Shaun Anderson,109159,Shaun Anderson,"Anderson, Shaun",Shaun Anderson
armstsh01,Shawn Armstrong,Shawn,Armstrong,12857,Shawn Armstrong,542888,Shawn Armstrong,2121144,Shawn Armstrong,armstsh01,33499,Shawn Armstrong,70293,Shawn Armstrong,"Armstrong, Shawn",Shawn Armstrong
langesh01,Shea Langeliers,Shea,Langeliers,25816,Shea Langeliers,669127,Shea Langeliers,3117480,Shea Langeliers,langesh01,,Shea Langeliers,126172,Shea Langeliers,"Langeliers, Shea",Shea Langeliers
longsh01,Shed Long,Shed,Long,16542,Shed Long Jr.,643418,Shed Long,2768550,Shed Long,longsh01,38859,Shed Long,103432,Shed Long Jr.,"Long, Shed",Shed Long Jr.
millesh01,Shelby Miller,Shelby,Miller,10197,Shelby Miller,571946,Shelby Miller,1739603,Shelby Miller,millesh01,30738,Shelby Miller,60626,Shelby Miller,"Miller, Shelby",Shelby Miller
neusesh01,Sheldon Neuse,Sheldon,Neuse,19635,Sheldon Neuse,641914,Sheldon Neuse,2507189,Sheldon Neuse,neusesh01,39666,Sheldon Neuse,108291,Sheldon Neuse,"Neuse, Sheldon",Sheldon Neuse
fujinsh01,Shintaro Fujinami,Shintaro,Fujinami,31839,Shintaro Fujinami,660261,Shintaro Fujinami,29075943,Shintaro Fujinami,fujinsh01,,Shintaro Fujinami,120676,Shintaro Fujinami,"Fujinami, Shintaro",Shintaro Fujinami
ohtansh01,Shohei Ohtani,Shohei,Ohtani,19755,Shohei Ohtani,660271,Shohei Ohtani,2901324,Shohei Ohtani,ohtansh01,39832,Shohei Ohtani,111306,Shohei Ohtani,"Ohtani, Shohei",Shohei Ohtani
ohtansh01p,Shohei Ohtani,Shohei,Ohtani,19755,Shohei Ohtani,660271,Shohei Ohtani,2901324,Shohei Ohtani,ohtansh01,39832,Shohei Ohtani,111306,Shohei Ohtani,"Ohtani, Shohei",Shohei Ohtani
brachsi01,Silvino Bracho,Silvino,Bracho,15051,Silvino Bracho,611093,Silvino Bracho,2171295,Silvino Bracho,brachsi01,34119,Silvino Bracho,100355,Silvino Bracho,"Bracho, Silvino",Silvino Bracho
woodssi01,Simeon Woods-Richardson,Simeon,Woods-Richardson,24494,Simeon Woods-Richardson,680573,Simeon Woods Richardson,2932071,Simeon Woods Richardson,woodssi01,,Simeon Woods Richardson,141257,Simeon Woods Richardson,"Woods-Richardson, Simeon",Simeon Woods Richardson
sanchsi01,Sixto Sanchez,Sixto,Sanchez,19680,Sixto Sanchez,664350,Sixto Sanchez,2507515,Sixto Sanchez,sanchesi01,36186,Sixto Sanchez,106846,Sixto Sanchez,"Sanchez, Sixto",Sixto Sanchez
boltsk01,Skye Bolt,Skye,Bolt,17723,Skye Bolt,621450,Skye Bolt,2228440,Skye Bolt,boltsk01,,Skye Bolt,105603,Skye Bolt,"Bolt, Skye",Skye Bolt
