Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Sonny Gray,STL,11.8813,9.5466,16.3375,3.82582,30.78,30.78,0,0,180.139,763.625,170.356,83.4202,76.5756,20.2557,59.4177,,7.8646,172.156,8.60116,2.96859,2.89739,1.012,0.225446,0.0778101,0.147635944187641,0.244644,1.27553,0.297859,0.726624,0.463437,,3.92595,3.09927,3.33979,115.599998474121,,,,12768
Carlos Rodón,NYY,11.4061,8.4427,14.3904,3.78597,29.16,29.16,0,0,163.187,682.504,138.001,73.3684,68.6467,23.6258,51.841,,6.881,194.212,10.7111,2.85911,3.7463,1.303,0.284558,0.0759571,0.208600968122482,0.221232,1.16334,0.28175,0.742977,0.334193,,3.83644,3.04988,2.89254,159.259994506836,,,,16137
Shane Bieber,CLE,11.3772,10.8248,18.0964,3.91281,30.78,30.78,0,0,192.768,813.024,189.037,91.1581,83.8072,24.9742,51.3197,,6.3887,181.958,8.4953,2.39603,3.54558,1.166,0.223804,0.063122,0.16068210452795,0.250275,1.24687,0.299175,0.726406,0.469624,,3.94952,2.92893,2.98794,184.429992675781,,,,19427
Eduardo Rodriguez,ARI,11.1511,10.1303,15.3186,3.98214,30.78,30.78,0,0,177.128,754.055,172.191,84.873,78.3718,21.4521,57.9944,,5.5265,168.884,8.58115,2.94675,2.91208,1.09,0.223968,0.07691,0.147057972848415,0.24936,1.29955,0.301359,0.726009,0.433343,,3.99841,2.89451,3.10972,193.089996337891,,,,13164
Chris Sale,ATL,10.6021,6.7815,12.2687,3.74023,25.92,25.92,0,0,141.036,586.43,124.092,63.0514,58.612,19.1026,41.0172,,7.4148,162.554,10.3731,2.61744,3.96307,1.219,0.277193,0.0699439,0.207248963415623,0.230656,1.17069,0.294633,0.737596,0.398243,,3.74088,2.78805,2.91185,146.830001831055,,,,10603
Joe Musgrove,SDP,10.8509,9.841,16.4601,3.83768,29.16,29.16,0,0,176.935,742.8,166.026,81.6484,75.4467,23.493,45.7483,,11.6315,175.184,8.91091,2.32704,3.82929,1.195,0.235842,0.061589,0.174253106117249,0.242225,1.19691,0.29283,0.727432,0.430665,,3.97385,2.76699,2.84247,102.769996643066,,,,12970
Logan Gilbert,SEA,11.5707,10.7248,16.8113,3.86216,32,32,0,0,186.999,775.284,174.848,86.2516,80.2464,27.0732,44.1788,,6.2186,185.398,8.92298,2.12627,4.19654,1.303,0.239136,0.056984,0.182151962071657,0.241208,1.17128,0.288389,0.733061,0.386911,,3.96279,2.75938,2.9166,64.5100021362305,,,,22250
Mitch Keller,PIT,11.1106,11.3896,16.0765,4.21376,32,32,0,0,190.091,813.745,185.119,96.1302,88.9997,23.0432,66.9322,,10.3158,177.26,8.39254,3.16896,2.64836,1.091,0.217833,0.0822521,0.13558092713356,0.25135,1.32595,0.302271,0.709406,0.451904,,4.18504,2.75381,2.90173,168,,,,17594
Grayson Rodriguez,BAL,11.1802,8.8283,15.3966,3.59971,29.16,29.16,0,0,165.699,692.144,143.976,72.1158,66.2743,20.1969,57.0991,,5.8597,181.016,9.83191,3.10135,3.1702,1.097,0.261529,0.082496,0.17903283983469,0.22883,1.2135,0.289223,0.746295,0.441647,,3.7946,2.7329,3.23144,999,,,,24492
Hunter Greene,CIN,9.7472,9.3262,12.9472,4.25227,27.54,27.54,0,0,158.849,673.661,136.66,79.7681,75.0522,26.016,62.5932,,8.6532,195.278,11.064,3.54637,3.1198,1.474,0.289876,0.092915,0.196960940957069,0.226854,1.25436,0.290313,0.7338,0.352929,,4.27104,2.71397,2.88285,139,,,,22182
